record_id,outlet_id,outlet_name,area,zone,store_format,store_size_sqft,opening_year,month,footfall,orders,avg_order_value,revenue,cogs,rent,salaries,marketing_spend,utilities,total_cost,profit,profit_margin_pct
R10000,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-01,5652,3001,228,683550,221480,83200,92700,40111,45200,482691,200859,29.4
R10001,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-02,5915,3316,266,881480,277421,83200,83000,29340,45500,518461,363019,41.2
R10002,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-03,6870,3561,237,843640,274419,83200,97900,46531,41100,543150,300490,35.6
R10003,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-04,7016,3406,222,757080,231879,83200,100800,49846,38800,504525,252555,33.4
R10004,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-05,8028,4285,189,808460,257207,83200,93600,33210,31700,498917,309543,38.3
R10005,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-06,7279,4124,232,956340,284443,83200,97300,47969,41100,554012,402328,42.1
R10006,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-07,7413,3920,236,926670,288062,83200,77300,37270,42200,528032,398638,43
R10007,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-08,8592,6202,232,1440980,477063,83200,109800,64883,37600,772546,668434,46.4
R10008,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-09,7281,3924,245,962230,299893,83200,94600,55160,38800,571653,390577,40.6
R10009,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-10,8594,4983,219,1091720,356240,83200,91200,60027,49400,640067,451653,41.4
R10010,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-11,8294,4716,234,1101630,355246,83200,100600,39182,41400,619628,482002,43.8
R10011,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2023-12,10193,7163,215,1538970,485944,83200,85400,96512,43100,794156,744814,48.4
R10012,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2024-01,7636,4869,265,1287890,392357,83200,89600,66577,43500,675234,612656,47.6
R10013,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2024-02,7128,4164,187,780740,250707,83200,101800,15615,42600,493922,286818,36.7
R10014,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2024-03,7743,3920,269,1055340,307611,83200,104400,43512,39700,578423,476917,45.2
R10015,OUT101,BrewBite Jayanagar Standalone,Jayanagar,South,Standalone,979,2022,2024-04,8199,5378,253,1358280,430631,83200,104000,82450,43900,744181,614099,45.2
